Province/State,Country/Region,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020
Chongqing,China,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579
Fujian,China,345,345,349,350,350,350,351,351,351,351,351,352,352,353,353,353,354,355,355,355,355,355
Gansu,China,138,138,138,138,138,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
Guangdong,China,1501,1507,1514,1516,1524,1532,1533,1536,1539,1544,1548,1552,1555,1564,1566,1571,1577,1579,1580,1581,1582,1582
Guangxi,China,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254
Guizhou,China,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,147,147,147,147
Hainan,China,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
Hebei,China,323,325,326,326,327,327,327,327,327,327,327,327,327,327,327,328,328,328,328,328,328,328
Heilongjiang,China,484,488,489,491,504,524,544,569,609,638,661,684,740,819,841,861,872,892,898,905,913,921
Henan,China,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276
Hong Kong,China,765,802,845,862,890,914,935,960,973,989,1000,1004,1009,1012,1017,1017,1021,1024,1025,1025,1029,1033
Hubei,China,67802,67802,67802,67803,67803,67803,67803,67803,67803,67803,67803,67803,67803,67803,67803,67803,68128,68128,68128,68128,68128,68128
Hunan,China,1018,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019
Inner Mongolia,China,111,117,117,117,117,118,121,124,126,128,155,189,190,190,190,193,193,193,193,194,194,194
Jiangsu,China,646,647,651,651,651,651,651,651,651,651,652,653,653,653,653,653,653,653,653,653,653,653
Jiangxi,China,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937
Jilin,China,98,98,98,98,98,98,98,98,98,98,98,99,100,100,102,102,102,102,104,104,106,106
Liaoning,China,140,141,141,141,142,142,144,144,144,144,145,145,145,145,145,145,146,146,146,146,146,146
Macau,China,41,41,43,43,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Ningxia,China,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Qinghai,China,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Shaanxi,China,255,255,255,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,277,279
Shandong,China,774,775,778,778,779,780,781,783,783,783,784,784,784,784,784,784,787,787,787,787,787,787
Shanghai,China,516,522,526,529,531,536,538,543,552,555,555,607,618,618,622,628,628,628,635,638,638,639
Shanxi,China,137,137,137,137,138,138,138,163,166,168,172,172,173,173,186,194,197,197,197,197,197,197
Sichuan,China,552,554,555,557,558,559,560,560,560,560,560,560,560,560,560,560,560,561,561,561,561,561
Tianjin,China,176,176,180,180,180,180,180,180,182,183,183,183,184,185,185,186,189,189,189,189,189,189
Tibet,China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Xinjiang,China,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
Yunnan,China,182,183,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184
Zhejiang,China,1257,1258,1260,1262,1263,1264,1265,1266,1267,1267,1267,1267,1267,1267,1268,1268,1268,1268,1268,1268,1268,1268
,Colombia,1065,1161,1267,1406,1485,1579,1780,2054,2223,2473,2709,2776,2852,2979,3105,3233,3439,3439,3792,3977,4149,4356
,Congo (Brazzaville),19,22,22,22,45,45,45,45,60,60,60,60,60,60,117,117,143,143,143,160,165,186
,Congo (Kinshasa),109,134,134,154,154,161,180,180,180,215,223,234,235,241,254,267,287,307,327,332,350,359
,Costa Rica,375,396,416,435,454,467,483,502,539,558,577,595,612,618,626,642,649,655,660,662,669,681
,Cote d'Ivoire,190,194,218,245,261,323,349,384,444,444,533,574,626,638,638,654,688,801,847,847,916,952
,Croatia,963,1011,1079,1126,1182,1222,1282,1343,1407,1495,1534,1600,1650,1704,1741,1791,1814,1832,1871,1881,1908,1950
,Diamond Princess,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
,Cuba,212,233,269,288,320,350,396,457,515,564,620,669,726,766,814,862,923,986,1035,1087,1137,1189
,Cyprus,320,356,396,426,446,465,494,526,564,595,616,633,662,695,715,735,750,761,767,772,784,790
,Czechia,3508,3858,4091,4472,4587,4822,5017,5312,5569,5732,5831,5991,6059,6111,6216,6433,6549,6606,6746,6900,7033,7132
Faroe Islands,Denmark,173,177,179,181,181,183,184,184,184,184,184,184,184,184,184,184,184,184,185,185,185,185
Greenland,Denmark,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
,Denmark,3107,3386,3757,4077,4369,4681,5071,5402,5635,5819,5996,6174,6318,6511,6681,6879,7073,7242,7384,7515,7695,7912
,Djibouti,33,40,49,50,59,90,90,135,135,150,187,214,298,363,435,591,732,732,846,846,945,974
,Dominican Republic,1284,1380,1488,1488,1745,1828,1956,2111,2349,2620,2759,2967,3167,3286,3614,3755,4126,4335,4680,4964,5044,5300
,Ecuador,2748,3163,3368,3465,3646,3747,3747,4450,4965,7161,7257,7466,7529,7603,7858,8225,8450,9022,9468,10128,10398,10850
,Egypt,779,865,985,1070,1173,1322,1450,1560,1699,1794,1939,2065,2190,2350,2505,2673,2844,3032,3144,3333,3490,3659
,El Salvador,32,41,46,56,62,69,78,93,103,117,118,125,137,149,159,164,177,190,201,218,225,237
,Equatorial Guinea,15,15,16,16,16,16,16,18,18,18,18,21,21,41,51,51,79,79,79,79,83,84
,Eritrea,15,22,22,29,29,31,31,33,33,34,34,34,34,34,35,35,35,39,39,39,39,39
,Estonia,779,858,961,1039,1097,1108,1149,1185,1207,1258,1304,1309,1332,1373,1400,1434,1459,1512,1528,1535,1552,1559
,Eswatini,9,9,9,9,9,10,10,12,12,12,12,14,15,15,15,16,16,22,22,24,31,31
,Ethiopia,29,29,35,38,43,44,52,55,56,65,69,71,74,82,85,92,96,105,108,111,114,116
,Fiji,5,7,7,12,12,14,15,15,15,16,16,16,16,16,16,17,17,17,17,18,18,18
,Finland,1446,1518,1615,1882,1927,2176,2308,2487,2605,2769,2905,2974,3064,3161,3237,3369,3489,3681,3783,3868,4014,4129
French Guiana,France,51,51,57,61,61,72,72,77,83,83,83,86,86,86,86,86,96,96,96,97,97,97
French Polynesia,France,37,37,39,40,41,42,47,51,51,51,51,53,55,55,55,55,55,55,55,56,56,57
Guadeloupe,France,125,128,130,134,135,135,139,141,141,143,143,143,143,145,145,145,145,148,148,148,148,148
Mayotte,France,94,116,128,134,147,147,171,171,184,191,196,196,207,217,217,233,245,254,271,271,311,326
New Caledonia,France,16,18,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Reunion,France,281,308,321,334,344,349,358,358,362,382,388,389,391,391,391,394,402,407,408,408,410,410
Saint Barthelemy,France,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
St Martin,France,15,22,22,24,32,32,32,32,32,32,32,32,32,32,35,35,35,37,37,37,37,38
Martinique,France,135,138,143,145,149,151,152,154,154,155,155,155,157,157,158,158,158,158,163,163,163,164
,France,56989,59105,64338,68605,70478,74390,78167,82048,86334,90676,93790,120633,124298,130253,133470,145960,147969,147969,152894,155275,158050,155860
,Gabon,18,21,21,21,21,24,30,34,44,44,46,49,57,57,80,80,108,108,109,120,156,166
,Gambia,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,10,10,10,10
,Georgia,117,134,155,162,174,188,196,211,218,234,242,257,272,300,306,348,370,388,394,402,408,416
,Germany,77872,84794,91159,96092,100123,103374,107663,113296,118181,122171,124908,127854,130072,131359,134753,137698,141397,143342,145184,147065,148291,150648
,Ghana,195,204,205,205,214,214,287,313,378,378,408,566,566,636,636,641,641,834,1042,1042,1042,1154
,Greece,1415,1544,1613,1673,1735,1755,1832,1884,1955,2011,2081,2114,2145,2170,2192,2207,2224,2235,2235,2245,2401,2408
,Guatemala,39,47,50,61,61,70,77,87,95,126,137,155,156,167,180,196,214,235,257,289,294,316
,Guinea,30,52,73,111,121,128,144,164,194,212,250,250,319,363,404,438,477,518,579,622,688,761
,Guyana,19,19,23,23,24,31,33,37,37,37,45,45,45,47,55,55,63,63,65,65,66,67
,Haiti,16,16,18,20,21,24,25,27,30,31,33,33,40,40,41,41,43,44,47,57,57,62
,Holy See,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9
,Honduras,172,219,222,264,268,298,305,312,343,382,392,393,397,407,419,426,442,457,472,477,494,510
,Hungary,525,585,623,678,733,744,817,895,980,1190,1310,1410,1458,1512,1579,1652,1763,1834,1916,1984,2098,2168
,Iceland,1220,1319,1364,1417,1486,1562,1586,1616,1648,1675,1689,1701,1711,1720,1727,1739,1754,1760,1771,1773,1778,1785
,India,1998,2543,2567,3082,3588,4778,5311,5916,6725,7598,8446,9205,10453,11487,12322,13430,14352,15722,17615,18539,20080,21370
,Indonesia,1677,1790,1986,2092,2273,2491,2738,2956,3293,3512,3842,4241,4557,4839,5136,5516,5923,6248,6575,6760,7135,7418
,Iran,47593,50468,53183,55743,58226,60500,62589,64586,66220,68192,70029,71686,73303,74877,76389,77995,79494,80868,82211,83505,84802,85996
,Iraq,728,772,820,878,961,1031,1122,1202,1232,1279,1318,1352,1378,1400,1415,1434,1482,1513,1539,1574,1602,1631
,Ireland,3447,3849,4273,4604,4994,5364,5709,6074,6574,8089,8928,9655,10647,11479,12547,13271,13980,14758,15251,15652,16040,16671
,Israel,6092,6857,7428,7851,8430,8904,9248,9404,9968,10408,10743,11145,11586,12046,12501,12758,12982,13265,13491,13713,13942,14498
,Italy,110574,115242,119827,124632,128948,132547,135586,139422,143626,147577,152271,156363,159516,162488,165155,168941,172434,175925,178972,181228,183957,187327
,Jamaica,44,47,47,53,58,58,63,63,63,63,65,69,73,73,125,143,143,163,173,223,223,233
,Japan,2178,2495,2617,3139,3139,3654,3906,4257,4667,5530,6005,6748,7370,7645,8100,8626,9787,10296,10797,10797,11135,11512
,Jordan,278,299,310,323,345,349,353,358,372,372,381,389,391,397,401,402,407,413,417,425,428,435
,Kazakhstan,380,435,464,531,584,662,697,727,781,812,865,951,1091,1232,1295,1402,1546,1615,1676,1852,1995,2135
,Kenya,81,110,122,126,142,158,172,179,184,189,191,197,208,216,225,234,246,262,270,281,296,303
,"Korea, South",9887,9976,10062,10156,10237,10284,10331,10384,10423,10450,10480,10512,10537,10564,10591,10613,10635,10653,10661,10674,10683,10694
,Kuwait,317,342,417,479,556,665,743,855,910,993,1154,1234,1300,1355,1405,1524,1658,1751,1915,1995,2080,2248
,Kyrgyzstan,111,116,130,144,147,216,228,270,280,298,339,377,419,430,449,466,489,506,554,568,590,612
,Latvia,446,458,493,509,533,542,548,577,589,612,630,651,655,657,666,675,682,712,727,739,748,761
,Lebanon,479,494,508,520,527,541,548,576,582,609,619,630,632,641,658,663,668,672,673,677,677,682
,Liberia,6,6,7,10,13,14,14,31,31,37,48,50,59,59,59,59,76,76,91,99,101,101
,Liechtenstein,68,75,75,77,77,77,78,78,78,79,79,79,79,79,79,79,79,79,81,81,81,81
,Lithuania,581,649,696,771,811,843,880,912,955,999,1026,1053,1062,1070,1091,1128,1149,1239,1298,1326,1350,1370
,Luxembourg,2319,2487,2612,2729,2804,2843,2970,3034,3115,3223,3270,3281,3292,3307,3373,3444,3480,3537,3550,3558,3618,3654
,Madagascar,57,59,70,70,72,82,88,93,93,93,102,106,106,108,110,111,117,120,121,121,121,121
,Malaysia,2908,3116,3333,3483,3662,3793,3963,4119,4228,4346,4530,4683,4817,4987,5072,5182,5251,5305,5389,5425,5482,5532
,Maldives,19,19,19,19,19,19,19,19,19,19,19,20,20,20,22,25,28,35,52,69,83,86
,Malta,188,196,202,213,227,241,293,299,337,350,370,378,384,393,399,412,422,426,427,431,443,444
,Mauritania,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
,Mauritius,161,169,186,196,227,244,268,273,314,318,319,324,324,324,324,324,324,325,328,328,328,329
,Mexico,1215,1378,1510,1688,1890,2143,2439,2785,3181,3441,3844,4219,4661,5014,5399,5847,6297,6875,7497,8261,8772,9501
,Moldova,423,505,591,752,864,965,1056,1174,1289,1438,1560,1662,1712,1934,2049,2154,2264,2378,2472,2548,2614,2778
,Monaco,55,60,64,66,73,77,79,81,84,90,92,93,93,93,93,93,94,94,94,94,94,94
,Mongolia,14,14,14,14,14,15,15,16,16,16,16,16,17,30,30,31,31,31,32,33,34,35
,Montenegro,123,144,174,201,214,233,241,248,252,255,263,272,274,283,288,303,303,307,308,312,313,315
,Morocco,654,708,791,919,1021,1120,1184,1275,1374,1448,1545,1661,1763,1888,2024,2283,2564,2685,2855,3046,3209,3446
,Namibia,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
,Nepal,5,6,6,9,9,9,9,9,9,9,9,12,14,16,16,16,30,31,31,31,43,45
Aruba,Netherlands,55,60,62,64,64,71,74,77,82,86,92,92,92,92,93,95,96,96,97,97,97,100
Curacao,Netherlands,11,11,11,11,11,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Sint Maarten,Netherlands,16,18,23,23,25,37,40,40,43,50,50,50,50,52,53,57,57,64,67,67,67,71
,Netherlands,13614,14697,15723,16627,17851,18803,19580,20549,21762,23097,24413,25587,26551,27419,28153,29214,30449,31589,32655,33405,34134,34842
,New Zealand,708,797,868,950,1039,1106,1160,1210,1239,1283,1312,1330,1349,1366,1386,1401,1409,1422,1431,1440,1445,1451
,Nicaragua,5,5,5,5,6,6,6,6,7,7,8,9,9,9,9,9,9,9,10,10,10,10
,Niger,74,98,120,144,184,253,278,342,410,438,491,529,529,570,584,584,627,639,648,648,657,662
,Nigeria,174,184,210,214,232,238,254,276,288,305,318,323,343,373,407,442,493,542,627,665,665,873
,North Macedonia,354,384,430,483,555,570,599,617,663,711,760,828,854,908,974,1081,1117,1170,1207,1225,1231,1259
,Norway,4863,5147,5370,5550,5687,5865,6086,6086,6211,6314,6409,6525,6603,6623,6740,6896,6937,7036,7078,7156,7191,7338
,Oman,210,231,252,277,298,331,371,419,457,484,546,599,727,813,910,1019,1069,1180,1266,1410,1508,1614
,Pakistan,2118,2421,2686,2818,3157,3766,4035,4263,4489,4695,5011,5230,5496,5837,6383,6919,7025,7638,8348,8418,9565,10076
,Panama,1181,1317,1475,1673,1801,1988,2100,2249,2528,2752,2974,3234,3400,3472,3574,3751,4016,4210,4273,4467,4658,4821
,Papua New Guinea,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,8
,Paraguay,69,77,92,96,104,113,115,119,124,129,133,134,147,159,161,174,199,202,206,208,208,213
,Peru,1323,1414,1595,1746,2281,2561,2954,4342,5256,5897,6848,7519,9784,10303,11475,12491,13489,14420,15628,16325,17837,19250
,Philippines,2311,2633,3018,3094,3246,3660,3764,3870,4076,4195,4428,4648,4932,5223,5453,5660,5878,6087,6259,6459,6599,6710
,Poland,2554,2946,3383,3627,4102,4413,4848,5205,5575,5955,6356,6674,6934,7202,7582,7918,8379,8742,9287,9593,9856,10169
,Portugal,8251,9034,9886,10524,11278,11730,12442,13141,13956,15472,15987,16585,16934,17448,18091,18841,19022,19685,20206,20863,21379,21982
,Qatar,835,949,1075,1325,1604,1832,2057,2210,2376,2512,2728,2979,3231,3428,3711,4103,4663,5008,5448,6015,6533,7141
,Romania,2460,2738,3183,3613,3864,4057,4417,4761,5202,5467,5990,6300,6633,6879,7216,7707,8067,8418,8746,8936,9242,9710
,Russia,2777,3548,4149,4731,5389,6343,7497,8672,10131,11917,13584,15770,18328,21102,24490,27938,32008,36793,42853,47121,52763,57999
,Rwanda,82,84,89,102,104,105,105,110,110,118,120,126,127,134,136,138,143,144,147,147,150,153
,Saint Lucia,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15
,Saint Vincent and the Grenadines,1,2,3,7,7,7,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,13
,San Marino,236,245,245,259,266,266,279,279,333,344,356,356,356,371,372,426,435,455,461,462,476,488
,Saudi Arabia,1720,1885,2039,2179,2402,2605,2795,2932,3287,3651,4033,4462,4934,5369,5862,6380,7142,8274,9362,10484,11631,12772
,Senegal,190,195,207,219,222,226,237,244,250,265,278,280,291,299,314,335,342,350,367,377,412,442
,Serbia,1060,1171,1476,1624,1908,2200,2447,2666,2867,3105,3380,3630,4054,4465,4873,5318,5690,5994,6318,6630,6630,6630
,Seychelles,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
,Singapore,1000,1049,1114,1189,1309,1375,1481,1623,1910,2108,2299,2532,2918,3252,3699,4427,5050,5992,6588,8014,9125,10141
,Slovakia,400,426,450,471,485,534,581,682,701,715,728,742,769,835,863,977,1049,1089,1161,1173,1199,1244
,Slovenia,841,897,934,977,997,1021,1059,1091,1124,1160,1188,1205,1212,1220,1248,1268,1304,1317,1330,1335,1344,1353
,Somalia,5,5,7,7,7,7,8,12,12,21,21,25,60,60,80,80,116,135,164,237,286,286
,South Africa,1380,1462,1505,1585,1655,1686,1749,1845,1934,2003,2028,2173,2272,2415,2506,2605,2783,3034,3158,3300,3465,3635
,Spain,104118,112065,119199,126168,131646,136675,141942,148220,153222,158273,163027,166831,170099,172541,177644,184948,190839,191726,198674,200210,204178,208389
,Sri Lanka,146,151,159,166,176,178,185,189,190,190,198,210,217,233,238,238,244,254,271,304,310,330
,Sudan,7,8,10,10,12,12,14,14,15,17,19,19,29,32,32,32,33,66,66,107,107,140
,Suriname,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,Sweden,4947,5568,6131,6443,6830,7206,7693,8419,9141,9685,10151,10483,10948,11445,11927,12540,13216,13822,14385,14777,15322,16004
,Switzerland,17768,18827,19606,20505,21100,21657,22253,23280,24051,24551,25107,25415,25688,25936,26336,26732,27078,27404,27740,27944,28063,28268
,Taiwan*,329,339,348,355,363,373,376,379,380,382,385,388,393,393,395,395,395,398,420,422,425,426
,Tanzania,20,20,20,20,22,24,24,25,25,32,32,32,49,53,88,94,147,147,170,254,254,284
,Thailand,1771,1875,1978,2067,2169,2220,2258,2369,2423,2473,2518,2551,2579,2613,2643,2672,2700,2733,2765,2792,2811,2826
,Togo,36,39,40,41,44,58,65,70,73,76,76,76,77,77,81,81,83,84,84,84,86,88
,Trinidad and Tobago,90,94,98,103,104,105,107,107,109,109,112,113,113,113,114,114,114,114,114,114,115,115
,Tunisia,423,455,495,553,574,596,623,628,643,671,685,707,726,747,780,822,864,864,879,884,884,909
,Turkey,15679,18135,20921,23934,27069,30217,34109,38226,42282,47029,52167,56956,61049,65111,69392,74193,78546,82329,86306,90980,95591,98674
,Uganda,44,45,48,48,52,52,52,53,53,53,53,54,54,55,55,55,56,55,55,56,61,63
,Ukraine,794,897,1072,1225,1308,1319,1462,1668,1892,2203,2511,2777,3102,3372,3764,4161,4662,5106,5449,5710,6125,6592
,United Arab Emirates,814,1024,1264,1505,1799,2076,2359,2659,2990,3360,3736,4123,4521,4933,5365,5825,6302,6302,6781,7265,7755,8238
Bermuda,United Kingdom,32,35,35,35,37,39,39,39,48,48,48,57,57,57,81,81,83,83,86,86,86,99
Cayman Islands,United Kingdom,22,28,28,35,35,39,45,45,45,45,45,53,53,54,54,60,61,61,61,66,66,66
Channel Islands,United Kingdom,172,193,232,262,309,323,335,351,361,398,407,431,436,440,447,457,470,484,488,488,496,498
Gibraltar,United Kingdom,81,88,95,98,103,109,113,120,123,127,129,129,129,129,131,131,132,132,132,132,132,132
Isle of Man,United Kingdom,68,95,114,126,127,139,150,158,190,201,226,228,242,254,256,284,291,297,298,300,307,307
Montserrat,United Kingdom,5,5,6,6,6,6,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11
,United Kingdom,29474,33718,38168,41903,47806,51608,55242,60733,65077,73758,78991,84279,88621,93873,98476,103093,108692,114217,120067,124743,129044,133495
,Uruguay,338,350,369,400,400,406,424,424,456,473,494,480,480,483,492,502,502,508,517,535,535,543
,US,213242,243622,275367,308650,336802,366317,397121,428654,462780,496535,526396,555313,580619,607670,636350,667592,699706,732197,758809,784326,811865,840351
,Uzbekistan,181,205,227,266,342,457,520,545,582,624,767,865,998,1165,1302,1349,1405,1490,1565,1627,1678,1716
,Venezuela,143,146,153,155,159,165,165,167,171,171,175,181,189,189,197,204,204,227,256,256,285,288
,Vietnam,218,233,237,240,241,245,249,251,255,257,258,262,265,266,267,268,268,268,268,268,268,268
,Zambia,36,39,39,39,39,39,39,39,39,40,40,43,45,45,48,48,52,57,61,65,70,74
,Zimbabwe,8,9,9,9,9,10,11,11,11,13,14,14,17,17,23,23,24,25,25,25,28,28
