Province/State,Country/Region,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020
Hainan,China,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hebei,China,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Heilongjiang,China,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Henan,China,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Hong Kong,China,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Hubei,China,3193,3199,3203,3207,3210,3212,3212,3213,3215,3216,3219,3219,3221,3221,3222,3222,4512,4512,4512,4512,4512,4512
Hunan,China,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Inner Mongolia,China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jiangsu,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jiangxi,China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jilin,China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Liaoning,China,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Macau,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ningxia,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qinghai,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaanxi,China,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Shandong,China,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Shanghai,China,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Shanxi,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sichuan,China,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Tianjin,China,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Tibet,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xinjiang,China,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Yunnan,China,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Zhejiang,China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Colombia,17,19,25,32,35,46,50,54,69,80,100,109,112,127,131,144,153,153,179,189,196,206
,Congo (Brazzaville),0,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
,Congo (Kinshasa),9,13,13,18,18,18,18,18,18,20,20,20,20,20,21,22,23,25,25,25,25,25
,Costa Rica,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,6,6,6
,Cote d'Ivoire,1,1,1,1,3,3,3,3,3,3,4,5,6,6,6,6,6,8,9,9,13,14
,Croatia,6,7,8,12,15,16,18,19,20,21,21,23,25,31,33,35,36,39,47,47,48,48
,Diamond Princess,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13,13,13,13
,Cuba,6,6,6,6,8,9,11,12,15,15,16,18,21,21,24,27,31,32,34,36,38,40
,Cyprus,9,10,11,11,9,9,9,9,10,10,10,11,12,12,12,12,12,12,12,12,12,13
,Czechia,39,44,53,59,67,78,88,99,112,119,129,138,143,161,166,169,173,181,186,194,201,208
Faroe Islands,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Denmark,104,123,139,161,179,187,203,218,237,247,260,273,285,299,309,321,336,346,355,364,370,384
,Djibouti,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2
,Dominican Republic,57,60,68,68,82,86,98,108,118,126,135,173,177,183,189,196,200,217,226,235,245,260
,Ecuador,93,120,145,172,180,191,191,242,272,297,315,333,355,369,388,403,421,456,474,507,520,537
,Egypt,52,58,66,71,78,85,94,103,118,135,146,159,164,178,183,196,205,224,239,250,264,276
,El Salvador,1,2,2,3,3,4,4,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7
,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Estonia,5,11,12,13,15,19,21,24,24,24,24,25,28,31,35,36,38,38,40,40,43,44
,Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
,Ethiopia,0,0,0,0,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Finland,17,19,20,25,28,27,34,40,42,48,49,56,59,64,72,75,82,90,94,98,141,149
French Guiana,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
French Polynesia,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,France,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12
Mayotte,France,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4
New Caledonia,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Barthelemy,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Martin,France,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Martinique,France,3,3,3,3,4,4,4,6,6,6,6,6,6,6,8,8,8,8,12,12,14,14
,France,4403,5387,6507,7560,8078,8911,10328,10869,12210,13197,13832,14393,14967,15729,17167,17920,18681,19323,19718,20265,20796,21340
,Gabon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Gambia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Georgia,0,0,0,1,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5
,Germany,920,1107,1275,1444,1584,1810,2016,2349,2607,2767,2736,3022,3194,3294,3804,4052,4352,4459,4586,4862,5033,5279
,Ghana,5,5,5,5,5,5,5,6,6,6,8,8,8,8,8,8,8,9,9,9,9,9
,Greece,50,53,63,68,73,79,81,83,87,92,93,98,99,101,102,105,108,110,113,116,121,121
,Guatemala,1,1,1,2,2,3,3,3,3,3,3,5,5,5,5,5,7,7,7,7,7,8
,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,5,6,6
,Guyana,2,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7
,Haiti,0,0,0,0,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,4
,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Honduras,10,14,15,15,22,22,22,22,23,23,24,25,25,26,31,35,41,46,46,46,46,46
,Hungary,20,21,26,32,34,38,47,58,66,77,85,99,109,122,134,142,156,172,189,199,213,225
,Iceland,2,4,4,4,4,6,6,6,6,7,8,8,8,8,8,8,9,9,9,10,10,10
,India,58,72,72,86,99,136,150,178,226,246,288,331,358,393,405,448,486,521,559,592,645,681
,Indonesia,157,170,181,191,198,209,221,240,280,306,327,373,399,459,469,496,520,535,582,590,616,635
,Iran,3036,3160,3294,3452,3603,3739,3872,3993,4110,4232,4357,4474,4585,4683,4777,4869,4958,5031,5118,5209,5297,5391
,Iraq,52,54,54,56,61,64,65,69,69,70,72,76,78,78,79,80,81,82,82,82,83,83
,Ireland,85,98,120,137,158,174,210,235,263,287,320,334,365,406,444,486,530,571,610,687,730,769
,Israel,26,36,40,44,49,57,65,73,86,95,101,103,116,123,130,142,151,164,172,177,184,189
,Italy,13155,13915,14681,15362,15887,16523,17127,17669,18279,18849,19468,19899,20465,21067,21645,22170,22745,23227,23660,24114,24648,25085
,Jamaica,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6
,Japan,57,62,63,77,77,85,92,93,94,99,99,108,123,143,146,178,190,222,236,236,263,281
,Jordan,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
,Kazakhstan,3,3,6,5,6,6,6,7,8,10,10,10,12,14,16,17,17,17,17,19,19,19
,Kenya,1,3,4,4,4,6,6,6,7,7,7,8,9,9,10,11,11,12,14,14,14,14
,"Korea, South",165,169,174,177,183,186,192,200,204,208,211,214,217,222,225,229,230,232,234,236,237,238
,Kuwait,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,3,5,6,7,9,11,13
,Kyrgyzstan,0,0,1,1,1,4,4,4,4,5,5,5,5,5,5,5,5,5,5,7,7,7
,Latvia,0,0,1,1,1,1,2,2,3,3,3,5,5,5,5,5,5,5,5,5,9,11
,Lebanon,14,16,17,17,18,19,19,19,19,20,20,20,20,21,21,21,21,21,21,21,21,22
,Liberia,0,0,0,1,3,3,3,4,4,5,5,5,6,6,6,6,7,7,8,8,8,8
,Liechtenstein,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Lithuania,8,9,9,11,13,15,15,15,16,22,23,23,24,29,30,32,33,33,35,37,38,38
,Luxembourg,29,30,31,31,36,41,44,46,52,54,62,66,69,67,69,69,72,72,73,75,78,80
,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Malaysia,45,50,53,57,61,62,63,65,67,70,73,76,77,82,83,84,86,88,89,89,92,93
,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Malta,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3
,Mauritania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Mauritius,6,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9
,Mexico,29,37,50,60,79,94,125,141,174,194,233,273,296,332,406,449,486,546,650,686,712,857
,Moldova,5,6,8,12,15,19,22,27,29,29,30,31,35,40,46,54,56,57,67,70,72,75
,Monaco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3
,Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Montenegro,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,5,5,5,5,5,5
,Morocco,39,44,48,59,70,80,90,93,97,107,111,118,126,126,127,130,135,137,141,143,145,149
,Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2
Curacao,Netherlands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sint Maarten,Netherlands,1,1,2,4,4,6,6,6,6,8,9,9,9,9,9,9,9,9,10,10,10,11
,Netherlands,1173,1339,1487,1651,1766,1867,2101,2248,2396,2511,2643,2737,2823,2945,3134,3315,3459,3601,3684,3751,3916,4054
,New Zealand,1,1,1,1,1,1,1,1,1,2,4,4,5,9,9,9,11,11,12,12,13,14
,Nicaragua,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
,Niger,5,5,5,8,10,10,11,11,11,11,11,12,12,14,14,14,18,19,20,20,20,22
,Nigeria,2,2,4,4,5,5,6,6,7,7,10,10,10,11,12,13,17,19,21,22,22,28
,North Macedonia,11,11,12,17,18,23,26,29,30,32,34,34,38,44,45,46,49,49,51,54,55,56
,Norway,44,50,59,62,71,76,89,101,108,113,119,128,134,139,150,152,161,164,165,181,182,187
,Oman,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,6,6,7,7,8,8
,Pakistan,27,34,40,41,47,53,57,61,65,66,86,91,93,96,111,128,135,143,168,176,201,212
,Panama,30,32,37,41,46,54,55,59,63,66,74,79,87,94,95,103,109,116,120,126,136,141
,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Paraguay,3,3,3,3,3,5,5,5,5,6,6,6,6,7,8,8,8,8,8,8,8,9
,Peru,38,55,61,73,83,92,107,121,138,169,181,193,216,230,254,274,300,348,400,445,484,530
,Philippines,96,107,136,144,152,163,177,182,203,221,247,297,315,335,349,362,387,397,409,428,437,446
,Poland,43,57,71,79,94,107,129,159,174,181,208,232,245,263,286,314,332,347,360,380,401,426
,Portugal,187,209,246,266,295,311,345,380,409,435,470,504,535,567,599,629,657,687,714,735,762,785
,Qatar,2,3,3,3,4,4,6,6,6,6,6,7,7,7,7,7,7,8,8,9,9,10
,Romania,92,115,133,146,151,176,197,220,248,270,291,316,331,351,372,392,411,421,451,478,498,524
,Russia,24,30,34,43,45,47,58,63,76,94,106,130,148,170,198,232,273,313,361,405,456,513
,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,San Marino,26,30,30,32,32,32,34,34,34,34,35,35,35,36,36,38,39,39,39,39,40,40
,Saudi Arabia,16,21,25,29,34,38,41,41,44,47,52,59,65,73,79,83,87,92,97,103,109,114
,Senegal,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,6
,Serbia,28,31,39,44,51,58,61,65,66,71,74,80,85,94,99,103,110,117,122,125,125,125
,Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Singapore,3,4,5,6,6,6,6,6,6,7,8,8,9,10,10,10,11,11,11,11,11,12
,Slovakia,1,1,1,1,1,2,2,2,2,2,2,2,2,2,6,8,9,11,12,13,14,14
,Slovenia,15,17,20,22,28,30,36,40,43,45,50,53,55,56,61,61,66,70,74,77,77,79
,Somalia,0,0,0,0,0,0,0,1,1,1,1,1,2,2,5,5,6,7,7,8,8,8
,South Africa,5,5,9,9,11,12,13,18,18,24,25,25,27,27,34,48,50,52,54,58,58,65
,Spain,9387,10348,11198,11947,12641,13341,14045,14792,15447,16081,16606,17209,17756,18056,18708,19315,20002,20043,20453,20852,21282,21717
,Sri Lanka,3,4,4,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
,Sudan,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,5,6,10,10,12,12,13
,Suriname,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Sweden,239,308,358,373,401,477,591,687,793,870,887,899,919,1033,1203,1333,1400,1511,1540,1580,1765,1937
,Switzerland,488,536,591,666,715,765,821,895,948,1002,1036,1106,1138,1174,1239,1281,1327,1368,1393,1429,1478,1509
,Taiwan*,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
,Tanzania,1,1,1,1,1,1,1,1,1,3,3,3,3,3,4,4,5,5,7,10,10,10
,Thailand,12,15,19,20,23,26,27,30,32,33,35,38,40,41,43,46,47,47,47,47,48,49
,Togo,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,6,6,6
,Trinidad and Tobago,5,5,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,Tunisia,12,14,18,18,22,22,23,24,25,25,28,31,34,34,35,37,37,37,38,38,38,38
,Turkey,277,356,425,501,574,649,725,812,908,1006,1101,1198,1296,1403,1518,1643,1769,1890,2017,2140,2259,2376
,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ukraine,20,22,27,32,37,38,45,52,57,69,73,83,93,98,108,116,125,133,141,151,161,174
,United Arab Emirates,8,8,9,10,10,11,12,12,14,16,20,22,25,28,33,35,37,37,41,43,46,52
Bermuda,United Kingdom,0,0,0,0,0,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5
Cayman Islands,United Kingdom,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Channel Islands,United Kingdom,3,3,4,5,6,7,7,8,8,9,9,9,9,13,15,19,20,21,21,24,24,28
Gibraltar,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man,United Kingdom,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,4,6,6,9,9,15
Montserrat,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,United Kingdom,2352,2921,3605,4313,4934,5373,6159,7097,7978,8958,9875,10612,11329,12107,12868,13729,14576,15464,16060,16509,17337,18100
,Uruguay,2,4,4,5,5,6,7,7,7,7,7,7,8,8,8,9,9,9,10,10,11,12
,US,4760,5929,7090,8408,9619,10783,12794,14704,16544,18595,20471,22029,23538,25843,28338,32930,36787,38664,40661,42094,44444,46622
,Uzbekistan,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,5,5,5,6,7
,Venezuela,3,5,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10
,Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Zambia,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3
,Zimbabwe,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
Diamond Princess,Canada,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Syria,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
,Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Belize,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Recovered,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Libya,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,West Bank and Gaza,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4
,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mali,3,3,3,3,5,5,5,7,7,7,7,9,10,13,13,13,13,13,14,14,14,17
,Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest Territories,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yukon,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kosovo,1,1,1,1,1,1,4,5,5,7,7,7,7,8,8,11,12,12,12,12,12,12
,Burma,1,1,1,1,1,1,1,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5
Anguilla,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Turks and Caicos Islands,United Kingdom,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,MS Zaandam,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Botswana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
,Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonaire, Sint Eustatius and Saba",Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Malawi,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3
